                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.4397,                  1.431,                 1.8389,                0.95147,                0.47851,                0.68026,                0.33641,                 1.7697,                 1.7861,                 2.4109,               0.000218,               0.000218,               0.000218
                     92,                 1.4026,                 1.4689,                 1.8091,                 0.6085,                0.56878,                0.67965,                0.33377,                 1.8059,                 1.8205,                 2.4495,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3894,                 1.3849,                 1.8181,                 0.6692,                 0.5429,                 0.6744,                0.33892,                 1.8164,                 1.8424,                 2.4638,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3451,                 1.3744,                 1.7631,                0.67132,                0.56098,                0.64348,                0.34302,                 1.8086,                 1.8531,                 2.4446,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3714,                 1.3615,                 1.7902,                0.72721,                0.58537,                0.68883,                0.36751,                 1.7542,                 1.7886,                 2.3882,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3299,                 1.3112,                 1.8216,                0.76082,                0.63415,                0.70866,                0.37363,                 1.7287,                 1.7266,                 2.3508,               0.000119,               0.000119,               0.000119
                     97,                 1.3145,                 1.2994,                 1.7913,                0.77983,                0.63415,                0.71614,                0.38493,                 1.7322,                 1.7221,                 2.3544,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3277,                 1.3407,                 1.8375,                0.80526,                0.56098,                0.72499,                0.38825,                 1.7357,                 1.7167,                  2.362,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2773,                 1.2373,                 1.7305,                0.80338,                0.60976,                0.73231,                0.38937,                 1.7316,                 1.7364,                 2.3721,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3582,                 1.3684,                 1.8243,                0.87584,                0.60976,                0.72529,                 0.3889,                 1.7296,                 1.7462,                 2.3875,               3.98e-05,               3.98e-05,               3.98e-05
